,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
0,aresposrt.000webhostapp.com/log-in-help.htm,10000000,0,1,2191,43,0,0,0,27,2,1
1,arezcs.000webhostapp.com/mobile-facebook-verification.htm,10000000,0,1,2191,57,0,0,0,24,2,1
2,admiralmarkets.bg/utils/r?link=bit.do/ffxru,10000000,0,0,0,43,0,0,0,17,1,1
3,apzrescz.000webhostapp.com/mobile-facebook-verification.htm,10000000,0,1,2191,59,0,0,0,26,2,1
4,dofus-evenement-draconiros.com/,10000000,0,0,0,31,0,0,1,30,1,1
5,gg.gg/fgpdb?code=fUxU4sR,10000000,0,0,0,24,0,0,0,5,1,1
6,31102019client-com.umbler.net/caixa/,10000000,0,1,2557,36,0,0,1,29,2,1
7,apzcsz.000webhostapp.com/log-in-help.htm,10000000,0,1,2191,40,0,0,0,24,2,1
8,my3-billing-login.com,10000000,0,0,0,21,0,0,1,21,1,1
9,www.audiobooked.net/weekend/zzzz,10000000,0,1,2192,32,0,0,0,19,2,1
10,e-sad24.net/1,10000000,0,0,0,13,0,0,1,11,1,1
11,americanas-novembro-rosa.appsa.tk/ofertas/cod59145/134220341/iphone-8-plus-64gb-ouro-tela-5-5-ios-12-4g-camera-12mp-apple/121308975/pr,10000000,0,0,0,134,0,0,1,33,2,1
12,secure.netflix.user.restrict-dashboard-assigned.com/,10000000,0,1,366,52,0,0,1,51,4,1
13,udincako.000webhostapp.com/confirmation.html,10000000,0,1,2191,44,0,0,0,26,2,1
14,udincako.000webhostapp.com/acc-ind.html,10000000,0,1,2191,39,0,0,0,26,2,1
15,sopprtpage-ap.cf/,10000000,0,0,0,17,0,0,1,16,1,1
16,wwwzonaseguras1bn.com/.p/BNlWeb,10000000,0,1,366,31,0,0,0,21,1,1
17,www.cbbh10.cz/unitedstates/Suziko.php?Sef=4147,10000000,0,0,0,46,0,0,0,13,2,1
18,rspg.kru.ac.th/auth/auth/auth%202/index.php,10000000,0,0,0,43,0,0,0,14,3,1
19,"cadastro-atendimentosmmilesbiciletar.000webhostapp.com/cadastrando.php?19,10,05,pm,000000,33,2019,q,04,/admin.asp",10000000,0,1,2191,113,0,0,1,54,2,1
20,ductportails.firebaseapp.com/,10000000,0,1,2922,29,0,0,0,28,2,1
21,"cadastro-atendimentosmmilesbiciletar.000webhostapp.com/cadastrando.php?19,10,48,pm,000000,31,2019,q,04,/admin.asp",10000000,0,1,2191,113,0,0,1,54,2,1
22,cadastro-atendimentosmmilesbiciletar.000webhostapp.com/,10000000,0,1,2191,55,0,0,1,54,2,1
23,cadastro-atendimentosmmilesbiciletar.000webhostapp.com/cadastrando.php,10000000,0,1,2191,70,0,0,1,54,2,1
24,www558.sua-melhorescolha-2019.com/pt-psl1091794195db/smart-tv-led-50-lg-50uk6510-ultra-hd-4k-com-conversor-digital-4-hdmi-2-usb-wi-fi-thinq-ai-webos-4.0-60hz-inteligencia-artificial-prata/133718358/pr,10000000,0,1,366,200,0,0,1,33,2,1
25,time-honoured-dimen.000webhostapp.com/cox.full/cox.full/Zo/stepCoxMail/log/sycho,10000000,0,1,2191,80,0,0,1,37,2,1
26,shrimpy-throats.000webhostapp.com/cox.fullsssysybssvsssssgwetqgrseees/cox.full/Zo/stepCoxMail/log/sycho,10000000,0,1,2191,103,0,0,1,33,2,1
27,mahratta-supply.000webhostapp.com/cox.full2/cox.full/Zo/stepCoxMail/log/sycho,10000000,0,1,2191,77,0,0,1,33,2,1
